,x,r,theta,eps,regime,mach,T,P,n_chan,w_chan,d_chan,t_wall,r_cool,r_outer,fin_thick,A_chan,D_hyd,mdot_chan,T_c_i,dT_c,T_c_e,P_c_i,dP_c,P_c_e,dx,s,A_w_segment,T_aw,R_soot,rho_c,cp_c,cond_c,visc_c,u_c,t_transit,Re_c,Pr_c,f_darcy,Nu_c,h_c,T_wg,T_wc,q_tot
0,0.0,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,531.2575967947663,1.0005864115384093,532.2581832063047,25.209442712225847,0.00944271222584923,25.2,1.171,1.171,371.3974373128349,3325.0020179356225,0.000526667590690191,631.7981501311374,2996.180574099922,0.07301206090299447,0.00010804242414166945,10.249298133724848,0.00011425172579836252,51372.578760931625,4.433714216368022,0.020828426548186563,276.77463837466655,23575.867878984664,673.8307129303844,661.3926822008411,3068047.579954005
1,1.171,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,531.2575967947663,1.0005864115384093,532.2581832063047,25.218885424451695,0.00944271222584923,25.209442712225847,1.171,1.171,371.3974373128349,3325.0020179356225,0.000526667590690191,631.7981501311374,2996.180574099922,0.07301206090299447,0.00010804242414166945,10.249298133724848,0.00011425172579836252,51372.578760931625,4.433714216368022,0.020828426548186563,276.77463837466655,23575.867878984664,673.8307129303844,661.3926822008411,3068047.579954005
2,2.341,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,530.2561306173766,1.0014661773897495,531.2575967947663,25.228327654980703,0.009442230529008397,25.218885424451695,1.1700000000000002,1.1700000000000002,371.0802746848991,3325.0020179356225,0.000526667590690191,632.5240078091786,2991.7875425661846,0.07318851683993172,0.00010897060601999429,10.237536474636736,0.00011428530710475597,50935.0011572982,4.454481600023783,0.02086911371110739,275.33724052876954,23510.111642616877,673.23123995339,660.7899013467198,3068863.5229786155
3,3.512,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,529.2520643624227,1.0040662549538326,530.2561306173766,25.237785628318793,0.009457973338091553,25.228327654980703,1.1709999999999998,1.1709999999999998,371.39743731283477,3325.0020179356225,0.000526667590690191,633.2517500104378,2987.383105532204,0.07336543090429558,0.00010991060226636304,10.22577134752986,0.00011451458869974311,50499.38613100058,4.475473970264349,0.020910087142174214,273.9015062358787,23444.052368719316,672.6330194785018,660.1883796196223,3069677.831856928
4,4.683,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,528.2462470230932,1.0058173393294854,529.2520643624227,25.24725135241265,0.009465724093856714,25.237785628318793,1.1709999999999998,1.1709999999999998,371.39743731283477,3325.0020179356225,0.000526667590690191,633.9807613888971,2982.970987191501,0.07354265350552383,0.00011086179108351634,10.214012783043549,0.00011464642005774618,50066.10383516677,4.496676290927901,0.02095131465486671,272.46865744522495,23377.746076544354,672.0365991988217,659.5886677372011,3070489.7605330735
5,5.853,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,527.2395335439658,1.006713479127439,528.2462470230932,25.256716809388337,0.009465456975687611,25.24725135241265,1.17,1.17,371.080274684899,3325.0020179356225,0.000526667590690191,634.7104222850014,2978.55493784396,0.07372003400443373,0.00011182351550198714,10.202270789437605,0.00011468035147736904,49635.51645486643,4.518072851749939,0.020992763227749088,271.0399063793162,23311.249633982017,671.4425212590857,658.9913108391572,3071298.5702490127
6,7.024,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,526.2301945083678,1.0093390355978713,527.2395335439658,25.266198265925855,0.009481456537518014,25.256716809388337,1.1710000000000003,1.1710000000000003,371.39743731283494,3325.0020179356225,0.000526667590690191,635.4419861713075,2974.1273712304064,0.07389787712009241,0.00011279759461230362,10.190525243769718,0.00011491066181460333,49206.88213979407,4.539702987681497,0.021034506353664797,269.61279995538433,23244.44915462489,670.8498045793607,658.3953224331618,3072105.5960623682
7,8.195,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,525.2190832763735,1.0111112319944413,526.2301945083678,25.27568771242257,0.009489446496714187,25.266198265925855,1.1710000000000003,1.1710000000000003,371.39743731283494,3325.0020179356225,0.000526667590690191,636.1748345367009,2969.69203070014,0.07407603249250286,0.00011378338762422598,10.178786159854466,0.00011504318703721967,48780.565068693184,4.561551261373609,0.021076511300989666,268.1885531089822,23177.40130325468,670.2589941300309,657.8012505000386,3072910.0953981066
8,9.365,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,524.2070592311516,1.012024045221903,525.2190832763735,25.285177112666815,0.009489400244245378,25.27568771242257,1.17,1.17,371.080274684899,3325.0020179356225,0.000526667590690191,636.9083445045576,2965.2526860233697,0.07425434870041325,0.00011478021699905716,10.167063529473886,0.00011507747508493672,48356.92150490957,4.583601536012197,0.021118744478455,266.7683711368743,23110.163594745176,669.6706290076789,657.2096371154037,3073711.3334279032
9,10.536,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,523.1923837409084,1.0146754902431157,524.2070592311516,25.294682776839092,0.009505664172276287,25.285177112666815,1.1709999999999994,1.1709999999999994,371.39743731283465,3325.0020179356225,0.000526667590690191,637.6437762265083,2960.801710517869,0.0744331320865729,0.00011578997179902648,10.155337262681302,0.0001153088242872223,47935.2214833734,4.605894404183178,0.0211612808283617,265.3498159885089,23042.62088639058,669.0837398196131,656.6195075374316,3074510.629604785
10,11.706,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,522.1767841549871,1.0155995859213256,523.1923837409084,25.304188545607545,0.009505768768450891,25.294682776839092,1.17,1.17,371.080274684899,3325.0020179356225,0.000526667590690191,638.3798777283862,2956.3466813742666,0.07461207829617324,0.00011681111271399403,10.143627371326742,0.00011534335373036964,47516.18073641508,4.628394668874455,0.021204050355993955,263.935304494831,22974.888538108095,668.4993676896197,656.0319086410203,3075306.5653211954
11,12.877,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,521.1585156369866,1.018268518000479,522.1767841549871,25.313710758906065,0.009522213298520273,25.304188545607545,1.1710000000000012,1.1710000000000012,371.3974373128352,3325.0020179356225,0.000526667590690191,639.1179136588903,2951.8799446932057,0.07479149476520047,0.00011784557737474776,10.131913787173193,0.00011557540111350578,47099.07717698747,4.651143790017779,0.021247128995737437,262.52240855344314,22906.85056925144,667.916551397695,655.4458739013394,3076100.44910106
12,14.048,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,520.1384389415592,1.0200766954274008,521.1585156369866,25.32324137673218,0.009530617826114895,25.313710758906065,1.1709999999999994,1.1709999999999994,371.39743731283465,3325.0020179356225,0.000526667590690191,639.8572601473526,2947.4052762610436,0.07497122983075072,0.00011889269179276711,10.120206496584315,0.0001157091014294249,46684.26511374148,4.674125633125831,0.02129048307529861,261.1123315541942,22838.564724024793,667.3358310279496,654.861946387472,3076891.5446511162
13,15.218,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,519.1174209687209,1.0210179728383069,520.1384389415592,25.332772331109478,0.009530954377296744,25.32324137673218,1.17,1.17,371.080274684899,3325.0020179356225,0.000526667590690191,640.597288868976,2942.9264788213914,0.0751511307471217,0.00011995174241087532,10.108515464470434,0.00011574399862297623,46272.091027471986,4.697323319187026,0.021334078019307954,259.70626738600663,22770.089598868188,666.7577402100616,654.2806626794156,3077679.1242259955
14,16.389,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,518.0937074793882,1.0237134893327868,519.1174209687209,25.342320007776173,0.009547676666694222,25.332772331109478,1.1709999999999994,1.1709999999999994,371.39743731283465,3325.0020179356225,0.000526667590690191,641.3392712874769,2938.4358572290844,0.07533150660702975,0.00012102474277159741,10.096820654737787,0.00011597710210397018,45861.84458342422,4.720779655013596,0.021377991290893246,258.30180276745506,22701.307955414944,666.1813305877746,653.7010691859304,3078464.479121559
15,17.56,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,517.0681637369214,1.0255437424668101,518.0937074793882,25.35187634777557,0.009556339999395263,25.342320007776173,1.1709999999999994,1.1709999999999994,371.39743731283465,3325.0020179356225,0.000526667590690191,642.082580264298,2933.9372070483796,0.07551220495314742,0.00012211099799570326,10.085132037633533,0.00011611151897965367,45453.87421970949,4.744478069892078,0.021422188633197118,256.90013424180626,22632.278187584754,665.6071390936775,653.1237058080686,3079246.8771168455
16,18.73,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,516.0416612251032,1.0265025118182258,517.0681637369214,25.36143326332592,0.009556915550352232,25.35187634777557,1.1700000000000017,1.1700000000000017,371.08027468489956,3325.0020179356225,0.000526667590690191,642.8265841523514,2929.434351130038,0.07569307223212375,0.0001232097718179985,10.073459562299576,0.00011614679075883573,45048.52059898944,4.768401219753366,0.021466634858812637,255.5024489289323,22563.059542639214,665.035695832905,652.5491055826874,3080025.5950536816
17,19.901,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,515.0124361872208,1.029225037882378,516.0416612251032,25.37100718741117,0.009573924085249066,25.36143326332592,1.1709999999999994,1.1709999999999994,371.39743731283465,3325.0020179356225,0.000526667590690191,643.5725613136833,2924.919552578863,0.07587441921365853,0.0001243231575520908,10.061783224275255,0.00011638096089913983,44645.085059187746,4.792593315785054,0.02151140901001417,254.10634824964635,22493.533523936505,664.4660660740611,651.976328617509,3080801.905949521
18,21.072,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,513.9813584503571,1.031077736863667,515.0124361872208,25.380590041568524,0.00958285415735345,25.37100718741117,1.1709999999999994,1.1709999999999994,371.39743731283465,3325.0020179356225,0.000526667590690191,644.3198813019735,2920.3966269783364,0.07605609263630736,0.00012545043866631485,10.050112977958861,0.00011651610310930304,44243.91020667078,4.817037336982056,0.021556476229655314,252.71302195809326,22423.759176520238,663.8987834254502,651.4059114718245,3081575.081894323
19,22.242,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,512.9493041383704,1.0320543119867462,513.9813584503571,25.39017371763372,0.009583676065193442,25.380590041568524,1.1700000000000017,1.1700000000000017,371.08027468489956,3325.0020179356225,0.000526667590690191,645.0679091070299,2915.869417533376,0.07623793812914906,0.00012659085532447923,10.038458756991835,0.00011655175643224027,43845.33092467853,4.841715458709523,0.021601800701440937,251.32365045867652,22353.796399737214,663.334374275089,650.8383834456976,3082344.404583209
