,x,r,theta,eps,regime,t_wall,n_chan,w_chan,d_chan
0,0,42.145,0,10,0,1.5,60,0.79,0.8
1,7.352,42.145,0,10,0,1.5,60,0.79,0.8
2,14.703,42.145,0,10,0,1.5,60,0.79,0.8
3,22.055,42.145,0,10,0,1.5,60,0.79,0.8
4,29.406,42.145,0,10,0,1.5,60,0.79,0.8
5,36.758,42.145,0,10,0,1.5,60,0.79,0.8
6,44.109,42.145,0,10,0,1.5,60,0.79,0.8
7,51.461,42.145,0,10,0,1.5,60,0.79,0.8
8,58.812,42.145,0,10,0,1.5,60,0.79,0.8
9,66.164,42.145,0,10,0,1.5,60,0.79,0.8
10,73.515,42.145,0,10,0,1.5,60,0.79,0.8
11,80.867,42.145,0,10,0,1.5,60,0.79,0.8
12,88.219,42.145,0,10,0,1.5,60,0.79,0.8
13,95.57,42.145,0,10,0,1.5,60,0.79,0.8
14,102.922,42.145,0,10,0,1.5,60,0.79,0.8
15,110.273,42.145,0,10,0,1.5,60,0.79,0.8
16,117.625,42.145,0,10,0,1.5,60,0.79,0.8
17,124.976,42.145,0,10,0,1.5,60,0.79,0.8
18,132.328,42.145,0,10,0,1.5,60,0.79,0.8
19,139.679,42.145,0,10,0,1.5,60,0.79,0.8
20,147.031,42.145,0,10,0,1.5,60,0.79,0.8
21,154.382,42.145,0,10,0,1.5,60,0.79,0.8
22,161.734,42.145,0,10,0,1.5,60,0.79,0.8
23,169.086,42.145,0,10,0,1.5,60,0.79,0.8
24,176.437,42.145,0,10,0,1.5,60,0.79,0.8
25,178.517,42.145,0,10,0,1.5,60,0.79,0.8
26,180.597,40.944,30,9.438,0,1.5,60,0.5,0.5
27,182.676,39.743,30,8.893,0,1.5,60,0.5,0.5
28,184.756,38.543,30,8.364,0,1.5,60,0.5,0.5
29,186.836,37.342,30,7.851,0,1.5,60,0.5,0.5
30,188.915,36.141,30,7.354,0,1.5,60,0.5,0.5
31,190.995,34.941,30,6.873,0,1.5,60,0.5,0.5
32,193.075,33.74,30,6.409,0,1.5,60,0.5,0.5
33,195.155,32.539,30,5.961,0,1.5,60,0.5,0.5
34,197.234,31.338,30,5.529,0,1.5,60,0.5,0.5
35,199.314,30.138,30,5.114,0,1.5,60,0.5,0.5
36,201.394,28.937,30,4.714,0,1.5,60,0.5,0.5
37,203.474,27.736,30,4.331,0,1.5,60,0.5,0.5
38,205.553,26.535,30,3.964,0,1.5,60,0.5,0.5
39,207.633,25.335,30,3.614,0,1.5,60,0.5,0.5
40,209.713,24.134,30,3.279,0,1.5,60,0.5,0.5
41,211.792,22.933,30,2.961,0,1.5,60,0.5,0.5
42,213.872,21.733,30,2.659,0,1.5,60,0.5,0.5
43,215.952,20.532,30,2.373,0,1.5,60,0.5,0.5
44,218.032,19.331,30,2.104,0,1.5,60,0.5,0.5
45,220.111,18.13,30,1.851,0,1.5,60,0.5,0.5
46,222.191,16.93,30,1.614,0,1.5,60,0.5,0.5
47,224.271,15.729,30,1.393,0,1.5,60,0.5,0.5
48,226.351,13.327,0,1,1,1.5,60,0.5,0.5
49,228.99,14.035,15,1.109,2,1.5,60,0.5,0.5
50,231.629,14.742,15,1.224,2,1.5,60,0.5,0.5
51,234.268,15.449,15,1.344,2,1.5,60,0.5,0.5
52,236.907,16.156,15,1.47,2,1.5,60,0.5,0.5
53,239.546,16.863,15,1.601,2,1.5,60,0.5,0.5
54,242.186,17.57,15,1.738,2,1.5,60,0.5,0.5
55,244.825,18.278,15,1.881,2,1.5,60,0.5,0.5
56,247.464,18.985,15,2.029,2,1.5,60,0.5,0.5
57,250.103,19.692,15,2.183,2,1.5,60,0.5,0.5
58,252.742,20.399,15,2.343,2,1.5,60,0.5,0.5
59,255.382,21.106,15,2.508,2,1.5,60,0.5,0.5
60,258.021,21.813,15,2.679,2,1.5,60,0.5,0.5
61,260.66,22.521,15,2.855,2,1.5,60,0.5,0.5
62,263.299,23.228,15,3.038,2,1.5,60,0.79,0.6
63,265.938,23.935,15,3.225,2,1.5,60,0.79,0.6
64,268.578,24.642,15,3.419,2,1.5,60,0.79,0.6
65,271.217,25.349,15,3.618,2,1.5,60,0.79,0.6
66,273.856,26.056,15,3.822,2,1.5,60,0.79,0.6
67,276.495,26.764,15,4.033,2,1.5,60,0.79,0.6
68,279.134,27.471,15,4.249,2,1.5,60,0.79,0.6
69,281.774,28.178,15,4.47,2,1.5,60,0.79,0.6
70,284.413,28.885,15,4.697,2,1.5,60,0.79,0.6
71,287.052,29.592,15,4.93,2,1.5,60,0.79,0.6
72,289.691,30.299,15,5.169,2,1.5,60,0.79,0.6
