,x,r,theta,eps,regime
0,0.0,50.61,0.0,8.0,0.0
1,1.17,50.61,0.0,8.0,0.0
2,2.34,50.61,0.0,8.0,0.0
3,3.51,50.61,0.0,8.0,0.0
4,4.68,50.61,0.0,8.0,0.0
5,5.85,50.61,0.0,8.0,0.0
6,7.019,50.61,0.0,8.0,0.0
7,8.189,50.61,0.0,8.0,0.0
8,9.359,50.61,0.0,8.0,0.0
9,10.529,50.61,0.0,8.0,0.0
10,11.699,50.61,0.0,8.0,0.0
11,12.869,50.61,0.0,8.0,0.0
12,14.039,50.61,0.0,8.0,0.0
13,15.209,50.61,0.0,8.0,0.0
14,16.379,50.61,0.0,8.0,0.0
15,17.549,50.61,0.0,8.0,0.0
16,18.719,50.61,0.0,8.0,0.0
17,19.889,50.61,0.0,8.0,0.0
18,21.058,50.61,0.0,8.0,0.0
19,22.228,50.61,0.0,8.0,0.0
20,23.398,50.61,0.0,8.0,0.0
21,24.568,50.61,0.0,8.0,0.0
22,25.738,50.61,0.0,8.0,0.0
23,26.908,50.61,0.0,8.0,0.0
24,28.078,50.61,0.0,8.0,0.0
25,29.248,50.61,0.0,8.0,0.0
26,30.418,50.61,0.0,8.0,0.0
27,31.588,50.61,0.0,8.0,0.0
28,32.758,50.61,0.0,8.0,0.0
29,33.927,50.61,0.0,8.0,0.0
30,35.097,50.61,0.0,8.0,0.0
31,36.267,50.61,0.0,8.0,0.0
32,37.437,50.61,0.0,8.0,0.0
33,38.607,50.61,0.0,8.0,0.0
34,39.777,50.61,0.0,8.0,0.0
35,40.947,50.61,0.0,8.0,0.0
36,42.117,50.61,0.0,8.0,0.0
37,43.287,50.61,0.0,8.0,0.0
38,44.457,50.61,0.0,8.0,0.0
39,45.627,50.61,0.0,8.0,0.0
40,46.797,50.61,0.0,8.0,0.0
41,47.966,50.61,0.0,8.0,0.0
42,49.136,50.61,0.0,8.0,0.0
43,50.306,50.61,0.0,8.0,0.0
44,51.476,50.61,0.0,8.0,0.0
45,52.646,50.61,0.0,8.0,0.0
46,53.816,50.61,0.0,8.0,0.0
47,54.986,50.61,0.0,8.0,0.0
48,56.156,50.61,0.0,8.0,0.0
49,57.326,50.61,0.0,8.0,0.0
50,58.496,50.61,0.0,8.0,0.0
51,59.666,50.61,0.0,8.0,0.0
52,60.835,50.61,0.0,8.0,0.0
53,62.005,50.61,0.0,8.0,0.0
54,63.175,50.61,0.0,8.0,0.0
55,64.345,50.61,0.0,8.0,0.0
56,65.515,50.61,0.0,8.0,0.0
57,66.685,50.61,0.0,8.0,0.0
58,67.855,50.61,0.0,8.0,0.0
59,69.025,50.61,0.0,8.0,0.0
60,70.195,50.61,0.0,8.0,0.0
61,71.365,50.61,0.0,8.0,0.0
62,72.535,50.61,0.0,8.0,0.0
63,73.705,50.61,0.0,8.0,0.0
64,74.874,50.61,0.0,8.0,0.0
65,76.044,50.61,0.0,8.0,0.0
66,77.214,50.61,0.0,8.0,0.0
67,78.384,50.61,0.0,8.0,0.0
68,79.554,50.61,0.0,8.0,0.0
69,80.724,50.61,0.0,8.0,0.0
70,81.894,50.61,0.0,8.0,0.0
71,83.064,50.61,0.0,8.0,0.0
72,84.234,50.61,0.0,8.0,0.0
73,85.404,50.61,0.0,8.0,0.0
74,86.574,50.61,0.0,8.0,0.0
75,87.743,50.61,0.0,8.0,0.0
76,88.913,50.61,0.0,8.0,0.0
77,90.083,50.61,0.0,8.0,0.0
78,91.253,50.61,0.0,8.0,0.0
79,92.423,50.61,0.0,8.0,0.0
80,93.593,50.61,0.0,8.0,0.0
81,94.763,50.61,0.0,8.0,0.0
82,95.933,50.61,0.0,8.0,0.0
83,97.103,50.61,0.0,8.0,0.0
84,98.273,50.61,0.0,8.0,0.0
85,99.443,50.61,0.0,8.0,0.0
86,100.613,50.61,0.0,8.0,0.0
87,101.782,50.61,0.0,8.0,0.0
88,102.952,50.61,0.0,8.0,0.0
89,104.122,50.61,0.0,8.0,0.0
90,105.292,50.61,0.0,8.0,0.0
91,106.462,50.61,0.0,8.0,0.0
92,107.632,50.61,0.0,8.0,0.0
93,108.802,50.61,0.0,8.0,0.0
94,109.972,50.61,0.0,8.0,0.0
95,111.142,50.61,0.0,8.0,0.0
96,112.312,50.61,0.0,8.0,0.0
97,113.482,50.61,0.0,8.0,0.0
98,114.652,50.61,0.0,8.0,0.0
99,115.821,50.61,0.0,8.0,0.0
100,116.394,50.28,30.0,7.896,0.0
101,116.966,49.949,30.0,7.792,0.0
102,117.539,49.619,30.0,7.69,0.0
103,118.111,49.289,30.0,7.588,0.0
104,118.683,48.958,30.0,7.486,0.0
105,119.256,48.628,30.0,7.385,0.0
106,119.828,48.297,30.0,7.285,0.0
107,120.401,47.967,30.0,7.186,0.0
108,120.973,47.636,30.0,7.087,0.0
109,121.545,47.306,30.0,6.989,0.0
110,122.118,46.975,30.0,6.892,0.0
111,122.69,46.645,30.0,6.795,0.0
112,123.263,46.314,30.0,6.699,0.0
113,123.835,45.984,30.0,6.604,0.0
114,124.407,45.653,30.0,6.51,0.0
115,124.98,45.323,30.0,6.416,0.0
116,125.552,44.992,30.0,6.322,0.0
117,126.125,44.662,30.0,6.23,0.0
118,126.697,44.331,30.0,6.138,0.0
119,127.269,44.001,30.0,6.047,0.0
120,127.842,43.67,30.0,5.956,0.0
121,128.414,43.34,30.0,5.867,0.0
122,128.987,43.01,30.0,5.777,0.0
123,129.559,42.679,30.0,5.689,0.0
124,130.131,42.349,30.0,5.601,0.0
125,130.704,42.018,30.0,5.514,0.0
126,131.276,41.688,30.0,5.428,0.0
127,131.849,41.357,30.0,5.342,0.0
128,132.421,41.027,30.0,5.257,0.0
129,132.993,40.696,30.0,5.173,0.0
130,133.566,40.366,30.0,5.089,0.0
131,134.138,40.035,30.0,5.006,0.0
132,134.711,39.705,30.0,4.924,0.0
133,135.283,39.374,30.0,4.842,0.0
134,135.855,39.044,30.0,4.761,0.0
135,136.428,38.713,30.0,4.681,0.0
136,137.0,38.383,30.0,4.601,0.0
137,137.573,38.052,30.0,4.522,0.0
138,138.145,37.722,30.0,4.444,0.0
139,138.717,37.391,30.0,4.367,0.0
140,139.29,37.061,30.0,4.29,0.0
141,139.862,36.73,30.0,4.214,0.0
142,140.435,36.4,30.0,4.138,0.0
143,141.007,36.07,30.0,4.063,0.0
144,141.579,35.739,30.0,3.989,0.0
145,142.152,35.409,30.0,3.916,0.0
146,142.724,35.078,30.0,3.843,0.0
147,143.297,34.748,30.0,3.771,0.0
148,143.869,34.417,30.0,3.7,0.0
149,144.441,34.087,30.0,3.629,0.0
150,145.014,33.756,30.0,3.559,0.0
151,145.586,33.426,30.0,3.49,0.0
152,146.158,33.095,30.0,3.421,0.0
153,146.731,32.765,30.0,3.353,0.0
154,147.303,32.434,30.0,3.286,0.0
155,147.876,32.104,30.0,3.219,0.0
156,148.448,31.773,30.0,3.153,0.0
157,149.02,31.443,30.0,3.088,0.0
158,149.593,31.112,30.0,3.023,0.0
159,150.165,30.782,30.0,2.959,0.0
160,150.738,30.451,30.0,2.896,0.0
161,151.31,30.121,30.0,2.834,0.0
162,151.882,29.791,30.0,2.772,0.0
163,152.455,29.46,30.0,2.711,0.0
164,153.027,29.13,30.0,2.65,0.0
165,153.6,28.799,30.0,2.59,0.0
166,154.172,28.469,30.0,2.531,0.0
167,154.744,28.138,30.0,2.473,0.0
168,155.317,27.808,30.0,2.415,0.0
169,155.889,27.477,30.0,2.358,0.0
170,156.462,27.147,30.0,2.302,0.0
171,157.034,26.816,30.0,2.246,0.0
172,157.606,26.486,30.0,2.191,0.0
173,158.179,26.155,30.0,2.137,0.0
174,158.751,25.825,30.0,2.083,0.0
175,159.324,25.494,30.0,2.03,0.0
176,159.896,25.164,30.0,1.978,0.0
177,160.468,24.833,30.0,1.926,0.0
178,161.041,24.503,30.0,1.875,0.0
179,161.613,24.172,30.0,1.825,0.0
180,162.186,23.842,30.0,1.775,0.0
181,162.758,23.512,30.0,1.727,0.0
182,163.33,23.181,30.0,1.678,0.0
183,163.903,22.851,30.0,1.631,0.0
184,164.475,22.52,30.0,1.584,0.0
185,165.048,22.19,30.0,1.538,0.0
186,165.62,21.859,30.0,1.492,0.0
187,166.192,21.529,30.0,1.448,0.0
188,166.765,21.198,30.0,1.403,0.0
189,167.337,20.868,30.0,1.36,0.0
190,167.91,20.537,30.0,1.317,0.0
191,168.482,20.207,30.0,1.275,0.0
192,169.054,19.876,30.0,1.234,0.0
193,169.627,19.546,30.0,1.193,0.0
194,170.199,19.215,30.0,1.153,0.0
195,170.772,18.885,30.0,1.114,0.0
196,171.344,18.554,30.0,1.075,0.0
197,171.916,18.224,30.0,1.037,0.0
198,172.489,17.893,0.0,1.0,1.0
199,173.132,18.066,15.0,1.019,2.0
200,173.776,18.238,15.0,1.039,2.0
201,174.42,18.411,15.0,1.059,2.0
202,175.063,18.583,15.0,1.079,2.0
203,175.707,18.756,15.0,1.099,2.0
204,176.351,18.928,15.0,1.119,2.0
205,176.994,19.101,15.0,1.139,2.0
206,177.638,19.273,15.0,1.16,2.0
207,178.281,19.446,15.0,1.181,2.0
208,178.925,19.618,15.0,1.202,2.0
209,179.569,19.791,15.0,1.223,2.0
210,180.212,19.963,15.0,1.245,2.0
211,180.856,20.135,15.0,1.266,2.0
212,181.5,20.308,15.0,1.288,2.0
213,182.143,20.48,15.0,1.31,2.0
214,182.787,20.653,15.0,1.332,2.0
215,183.43,20.825,15.0,1.355,2.0
216,184.074,20.998,15.0,1.377,2.0
217,184.718,21.17,15.0,1.4,2.0
218,185.361,21.343,15.0,1.423,2.0
219,186.005,21.515,15.0,1.446,2.0
220,186.649,21.688,15.0,1.469,2.0
221,187.292,21.86,15.0,1.492,2.0
222,187.936,22.033,15.0,1.516,2.0
223,188.579,22.205,15.0,1.54,2.0
